Case and Offense,Case Number,Reported Date,Nature Of Call,From Date,Offense,Description,Block Address,City,State,Beat,Division,Council District,Attempt Complete,Location Type,Location Description,Location
230312729-290,230312729,3/4/2023,GRAFFITI,2/26/2023 11:00,290,PC 28.08(B)(2) 2015 Graffiti Pecuniary Loss>$100<$,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.68740894175712, -97.32079903844469)"
230312877-23H,230312877,3/7/2023,THEFT,3/3/2023 10:53,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,4300 PAGO PAGO LN,FORT WORTH,TX,H17,East,5,C,20,20 RESIDENCE/HOME,"(32.824696582770194, -97.05313505508866)"
230019998-23F,230019998,3/18/2023,BURGLARY VEHICLE,3/17/2023 22:00,23F,PC 30.04(A) Burglary Vehicle,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,A,18,18 PARKING LOT/GARAGE,"(32.68740894175712, -97.32079903844469)"
230019926-90D,230019926,3/18/2023,DWI,3/18/2023 0:00,90D,PC 49.04 Driving While Intoxicated,6300 NORTH FWY,FORT WORTH,TX,E11,North,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.857395661980014, -97.3140236267527)"
230019049-13B,230019049,3/15/2023,PENAL CODE,3/14/2023 17:28,13B,GC 088 Assault by Offensive Contact-Class C,1200 HARRINGTON AVE,FORT WORTH,TX,C16,Central,2,C,20,20 RESIDENCE/HOME,"(32.769043098558264, -97.35354625565212)"
230020021-250,230020021,3/18/2023,FRAUD,3/18/2023 10:28,250,PC 32.21 (E-1) Forg Govt/Nat Inst/Mon/Sec Elderly,3400 DECATUR AVE,FORT WORTH,TX,C14,Northwest,2,C,7,07 CONVENIENCE STORE,"(32.804992867549764, -97.33884699650406)"
230018848-520,230018848,3/13/2023,PENAL CODE,3/13/2023 21:00,520,PC 42.12(B) Discharge Firearm Certain Munici,HENSLEY DR & CONROY ST,FORT WORTH,TX,I17,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230312844-23H,230312844,3/7/2023,THEFT,3/7/2023 13:12,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,800 W MORPHY ST,FORT WORTH,TX,B14,Central,9,C,20,20 RESIDENCE/HOME,
230018853-290,230018853,3/13/2023,CRIMINAL MISCHIEF,3/13/2023 21:58,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,3400 DECATUR AVE,FORT WORTH,TX,C14,Northwest,2,C,12,12 GROCERY/SUPERMARKET,"(32.804992867549764, -97.33884699650406)"
230017613-290,230017613,3/9/2023,CRIMINAL MISCHIEF,3/9/2023 1:00,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,3200 DURANGO RD,FORT WORTH,TX,L15,West,3,C,20,20 RESIDENCE/HOME,
230019049-13C,230019049,3/15/2023,PENAL CODE,3/14/2023 17:28,13C,PC 22.07(C) Terroristic Threat Cause Fear Immen SB,1200 HARRINGTON AVE,FORT WORTH,TX,C16,Central,2,C,20,20 RESIDENCE/HOME,"(32.769043098558264, -97.35354625565212)"
230015945-240,230015945,3/3/2023,AUTO THEFT,3/2/2023 19:00,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,14100 COCHISE DR,FORT WORTH,TX,F15,North,7,C,13,13 HIGHWAY/ROAD/ALLEY,
230019848-90Z,230019848,3/17/2023,PENAL CODE,3/17/2023 18:04,90Z,PC 38.15(A) Interfer W/Public Duties,1500 E ROSEDALE ST,FORT WORTH,TX,B15,Central,8,C,10,10 FIELD/WOODS,"(32.731408933045834, -97.30515307567525)"
230018741-220,230018741,3/13/2023,BURGLARY COMMERCIAL,8/28/2022 0:00,220,PC 30.02(C)(1) Burglary of building,4900 BRENTWOOD STAIR RD,FORT WORTH,TX,G13,East,8,C,19,19 RENTAL STORAGE FACILITY,"(32.75852628975769, -97.24780866541775)"
230020116-220,230020116,3/18/2023,BURGLARY RESIDENTIAL,3/16/2023 18:00,220,PC 30.02(C)(2) Burglary Habitation,8000 LEAD CIR,FORT WORTH,TX,E14,North,4,A,20,20 RESIDENCE/HOME,"(32.887891014859406, -97.30637022157579)"
230018580-23H,230018580,3/12/2023,THEFT,2/10/2023 0:01,23H,GC  085-07 Theft under $100,3800 CARLSBAD WAY,FORT WORTH,TX,E14,North,4,C,20,20 RESIDENCE/HOME,"(32.898155347900776, -97.30347966033689)"
230020055-13A,230020055,3/18/2023,AG ASSAULT,3/18/2023 14:12,13A,PC 22.02(A)(2) Agg Asslt w/Deadly Weapon,2800 GALVEZ AVE,FORT WORTH,TX,A14,Central,8,C,20,20 RESIDENCE/HOME,"(32.762208337774936, -97.30619086582405)"
230019938-13B,230019938,3/17/2023,ASSAULT,3/17/2023 23:58,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,5000 LINCOLN OAKS DR S,FORT WORTH,TX,K18,West,6,C,20,20 RESIDENCE/HOME,"(32.669335186508775, -97.40179343694443)"
230019136-520,230019136,3/15/2023,PENAL CODE,3/15/2023 1:50,520,PC 42.12(B) Discharge Firearm Certain Munici,ALICE ST & W DICKSON ST,FORT WORTH,TX,I11,South,9,C,13,13 HIGHWAY/ROAD/ALLEY,
230021432-WAR,230021432,3/23/2023,NARCOTIC VIOLATIONS,3/23/2023 14:49,WAR,OT WARRANT Out of Town Warrant,3400 N MAIN ST,FORT WORTH,TX,D12,Northwest,2,C,7,07 CONVENIENCE STORE,"(32.80717252937599, -97.35157061757657)"
230022041-13A,230022041,3/25/2023,ASSAULT,3/24/2023 12:30,13A,PC 22.01(b)(2)(B) Assault BI Fam Mem Strangl/imped,5600 COMO DR,FORT WORTH,TX,K16,West,3,C,20,20 RESIDENCE/HOME,"(32.7143330645197, -97.40672867061572)"
230313370-290,230313370,3/20/2023,CRIMINAL MISCHIEF,3/19/2023 20:00,290,GC 039 Criminal Mischief under $100/Subst Inconven,14400 ARGENTINA DR,FORT WORTH,TX,H17,East,5,C,18,18 PARKING LOT/GARAGE,"(32.82270334129867, -97.05462162106241)"
230020008-120,230020008,3/18/2023,ROBBERY CAR JACKING,3/18/2023 5:00,120,PC 29.02 Robbery,400 ISBELL CT,FORT WORTH,TX,C16,Northwest,2,C,20,20 RESIDENCE/HOME,
230313442-220,230313442,3/21/2023,THEFT,3/18/2023 4:38,220,PC 30.02(C)(1) Burglary of building,2900 STANLEY AVE,FORT WORTH,TX,K11,West,9,C,25,25 OTHER/UNKNOWN,"(32.709529274730265, -97.34595103696391)"
230021432-35A,230021432,3/23/2023,NARCOTIC VIOLATIONS,3/23/2023 14:49,35A,HSC 481.115(C) Poss CS PG 1 >=1G<4G,3400 N MAIN ST,FORT WORTH,TX,D12,Northwest,2,C,7,07 CONVENIENCE STORE,"(32.80717252937599, -97.35157061757657)"
230020400-290,230020400,3/19/2023,CRIMINAL MISCHIEF,3/19/2023 18:20,290,GC 039 Criminal Mischief under $100/Subst Inconven,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,18,18 PARKING LOT/GARAGE,"(32.68740894175712, -97.32079903844469)"
230020429-13A,230020429,3/20/2023,AG ASSAULT,3/20/2023 0:08,13A,PC 22.02(A)(2)FAMILY Agg Assault w/Deadly Weapon F,2800 LAS VEGAS TRL,FORT WORTH,TX,L15,West,3,C,20,20 RESIDENCE/HOME,"(32.73514127044438, -97.46660963021786)"
230313364-23F,230313364,3/20/2023,BURGLARY VEHICLE,3/18/2023 2:00,23F,PC 30.04(A) Burglary Vehicle,5100 GADSDEN AVE,FORT WORTH,TX,E15,North,4,C,20,20 RESIDENCE/HOME,"(32.92216915044547, -97.27427057027846)"
230020988-13C,230020988,3/22/2023,ASSAULT BY THREAT,3/22/2023 5:04,13C,GC 088-04 Family or Domestic Violence Assault by T,5600 COMO DR,FORT WORTH,TX,K16,West,3,C,20,20 RESIDENCE/HOME,"(32.7143330645197, -97.40672867061572)"
230313376-23F,230313376,3/20/2023,BURGLARY VEHICLE,3/16/2023 17:30,23F,PC 30.04(A) Burglary Vehicle,700 MAIN ST,FORT WORTH,TX,A15,Central,9,C,14,14 HOTEL/MOTEL/ETC.,"(32.753163827539005, -97.33033068667585)"
230020602-13A,230020602,3/20/2023,AG ASSAULT,3/20/2023 14:45,13A,PC 22.02(A)(2)FAMILY Agg Assault w/Deadly Weapon F,2100 ELLIS AVE,FORT WORTH,TX,C13,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.78322115329015, -97.35051367493071)"
230313236-23H,230313236,3/16/2023,THEFT,3/16/2023 17:20,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,2900 STANLEY AVE,FORT WORTH,TX,K11,West,9,C,20,20 RESIDENCE/HOME,"(32.709529274730265, -97.34595103696391)"
230021326-220,230021326,3/23/2023,BURGLARY COMMERCIAL,3/23/2023 3:00,220,PC 30.02(C)(1) Burglary of building,4000 E LANCASTER AVE,FORT WORTH,TX,G14,East,8,C,21,21 RESTAURANT,"(32.741035421973436, -97.26476927759208)"
230020602-220,230020602,3/20/2023,AG ASSAULT,3/20/2023 14:45,220,PC 30.02(C)(2) Burglary Habitation,2100 ELLIS AVE,FORT WORTH,TX,C13,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.78322115329015, -97.35051367493071)"
230021707-23F,230021707,3/24/2023,BURGLARY VEHICLE,3/23/2023 17:00,23F,PC 30.04(A) Burglary Vehicle,2000 HEMPHILL ST,FORT WORTH,TX,B16,Central,9,C,20,20 RESIDENCE/HOME,"(32.722263283484494, -97.33152030246697)"
230020971-90Z,230020971,3/22/2023,HARASS,11/25/2022 20:00,90Z,PC 42.07(C) Harassment,8100 CHANDRA LN,FORT WORTH,TX,I18,South,8,C,20,20 RESIDENCE/HOME,"(32.631855944040424, -97.35054563247715)"
230020426-23F,230020426,3/20/2023,BURGLARY VEHICLE,3/19/2023 18:00,23F,PC 30.04(A) Burglary Vehicle,2200 TRINITY PARK DR,FORT WORTH,TX,K12,West,9,C,50,50 PARK/PLAYGROUND,"(32.74843291285292, -97.35148858183662)"
230021068-13B,230021068,3/22/2023,ASSAULT,3/22/2023 10:29,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,LOVELL AVE / HORNE ST,FORT WORTH,TX,L12,West,3,C,13,13 HIGHWAY/ROAD/ALLEY,
230020992-13B,230020992,3/22/2023,ASSAULT BY THREAT,3/22/2023 5:04,13B,PC 22.01(b)(2)(B) Assault BI Family member strang/,5600 COMO DR,FORT WORTH,TX,K16,West,3,C,20,20 RESIDENCE/HOME,"(32.7143330645197, -97.40672867061572)"
230021606-90J,230021606,3/24/2023,CRIMINAL TRESPASS,3/24/2023 8:19,90J,PC 30.05(d)(1) Criminal Trespass,1200 W SEMINARY DR,Fort Worth,TX,J11,South,9,C,18,18 PARKING LOT/GARAGE,"(32.684763301458695, -97.33725425114956)"
230020500-23F,230020500,3/20/2023,BURGLARY VEHICLE,3/19/2023 10:30,23F,PC 30.04(d) Burglary of Vehicles,7800 WILL ROGERS BLVD,FORT WORTH,TX,I17,South,8,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.634860982489826, -97.31281666528794)"
230022254-290,230022254,3/26/2023,PENAL CODE,3/26/2023 1:30,290,PC 22.05(B)(2) Deadly Conduct Disch Firearm-proper,7200 PARK WEST CIR,FORT WORTH,TX,I16,South,8,C,18,18 PARKING LOT/GARAGE,"(32.639187367483075, -97.34726844630751)"
230021350-23F,230021350,3/23/2023,BURGLARY VEHICLE,3/23/2023 1:11,23F,PC 30.04(A) Burglary Vehicle,6800 NORTH FWY,FORT WORTH,TX,E12,North,4,C,18,18 PARKING LOT/GARAGE,"(32.864403587519824, -97.31473825687776)"
230020506-23F,230020506,3/20/2023,BURGLARY VEHICLE,3/19/2023 22:30,23F,PC 30.04(A) Burglary Vehicle,6200 SANDSHELL DR,FORT WORTH,TX,E11,North,4,C,18,18 PARKING LOT/GARAGE,"(32.856186073496986, -97.31122904995766)"
230022041-90Z,230022041,3/25/2023,ASSAULT,3/24/2023 12:30,90Z,PC 42.0622 Interfer W/Emergency Call,5600 COMO DR,FORT WORTH,TX,K16,West,3,C,20,20 RESIDENCE/HOME,"(32.7143330645197, -97.40672867061572)"
230020496-23F,230020496,3/20/2023,BURGLARY VEHICLE,3/19/2023 10:30,23F,PC 30.04(A) Burglary Vehicle,7800 WILL ROGERS BLVD,FORT WORTH,TX,I17,South,8,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.634860982489826, -97.31281666528794)"
230020333-290,230020333,3/19/2023,BURGLARY VEHICLE,3/13/2023 11:53,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,8000 AUTUMN CREEK TRL,FORT WORTH,TX,I18,South,8,C,20,20 RESIDENCE/HOME,"(32.63205521861277, -97.33627624504777)"
230019706-240,230019706,3/17/2023,AUTO THEFT,3/16/2023 19:00,240,PC 31.03(E)(5)AUTO 2015 Theft>=$30k<$150k,4100 CENTREPORT DR,FORT WORTH,TX,H17,East,5,C,14,14 HOTEL/MOTEL/ETC.,
230022209-23H,230022209,3/26/2023,THEFT,2/24/2023 15:00,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,900 BRADLEY AVE,FORT WORTH,TX,G15,East,5,C,20,20 RESIDENCE/HOME,
230023193-35A,230023193,3/29/2023,TRAFFIC CODE,3/29/2023 16:31,35A,HSC 481.121(B)(1) Poss Marij <=2OZ,1400 E MADDOX AVE,FORT WORTH,TX,B15,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.727070383603575, -97.30650856583938)"
230313520-23F,230313520,3/23/2023,BURGLARY VEHICLE,3/21/2023 19:00,23F,PC 30.04(A) Burglary Vehicle,2900 PECOS ST,FORT WORTH,TX,I13,South,8,C,20,20 RESIDENCE/HOME,"(32.688868866453106, -97.2875361878029)"
230023534-23H,230023534,3/30/2023,THEFT,3/25/2023 16:10,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,3700 MISTY MEADOW DR,FORT WORTH,TX,J16,South,6,C,20,20 RESIDENCE/HOME,"(32.643988247945906, -97.37283621213966)"
230023156-13B,230023156,3/29/2023,ASSAULT,3/29/2023 14:05,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,WOODWAY DR & SOUTHWEST LOOP 820 FWY,FORT WORTH,TX,J14,South,6,C,7,07 CONVENIENCE STORE,
230023225-240,230023225,3/30/2023,MISSING VEHICLE,3/29/2023 18:51,240,PC 31.07 UUMV-Unauthorized Use of Motor Vehicle,MARK IV PKWY & NORTHEAST LOOP 820 SR EB,FORT WORTH,TX,C15,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,
230313763-23F,230313763,3/28/2023,BURGLARY VEHICLE,3/28/2023 13:20,23F,PC 30.04(A) Burglary Vehicle,3200 CLEBURNE RD,FORT WORTH,TX,J11,South,9,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.704063307078904, -97.3497865250432)"
230023412-90Z,230023412,3/30/2023,TRAFFIC CODE,3/30/2023 13:13,90Z,TRC 545.420(D) Racing on Highway,W RISINGER RD,FORT WORTH,TX,J18,South,6,C,13,13 HIGHWAY/ROAD/ALLEY,
230313533-23H,230313533,3/23/2023,THEFT,10/23/2020 9:20,23H,PC 31.03(E)(5)  2015 Theft>=$30k<$150k,5100 MARK IV PKWY,FORT WORTH,TX,C15,Northwest,2,C,24,24 SPECIALTY STORE,"(32.836296777464945, -97.32135443564637)"
230313491-23H,230313491,3/22/2023,THEFT,3/22/2023 14:15,23H,GC  085-07 Theft under $100,3400 NE LOOP 820,FORT WORTH,TX,E11,North,4,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.839685778052726, -97.30053607850526)"
230023618-220,230023618,3/31/2023,BURGLARY COMMERCIAL,3/30/2023 15:45,220,PC 30.02(C)(1) Burglary of building,300 INDUSTRIAL AVE,FORT WORTH,TX,B11,Central,9,C,6,06 CONSTRUCTION SITE,"(32.744164022683954, -97.32370986447421)"
230023215-13A,230023215,3/29/2023,AG ASSAULT,3/29/2023 16:38,13A,PC 22.02(A)(2) Agg Asslt w/Deadly Weapon,WILD OAK DR & SILVER OAK LN,FORT WORTH,TX,I19,South,6,C,13,13 HIGHWAY/ROAD/ALLEY,
230021603-23H,230021603,3/24/2023,THEFT,3/23/2023 6:40,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,3000 SOUTH FWY,FORT WORTH,TX,B17,Central,8,C,12,12 GROCERY/SUPERMARKET,"(32.70714577419497, -97.32044333328075)"
230023225-90Z,230023225,3/30/2023,MISSING VEHICLE,3/29/2023 18:51,90Z,PC 38.04(b)(1)(B) Evading arrest detention with ve,MARK IV PKWY & NORTHEAST LOOP 820 SR EB,FORT WORTH,TX,C15,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,
230023156-90Z,230023156,3/29/2023,ASSAULT,3/29/2023 14:05,90Z,PC 38.03(A) Resisting Arr/Search/Transport,WOODWAY DR & SOUTHWEST LOOP 820 FWY,FORT WORTH,TX,J14,South,6,C,7,07 CONVENIENCE STORE,
230024193-23F,230024193,4/2/2023,BURGLARY VEHICLE,4/1/2023 2:00,23F,PC 30.04(A) Burglary Vehicle,7000 WOODACRE RD,FORT WORTH,TX,J16,South,6,C,20,20 RESIDENCE/HOME,"(32.642203264845136, -97.37479105245518)"
230019257-220,230019257,3/15/2023,BURGLARY RESIDENTIAL,3/14/2023 18:30,220,PC 30.02(C)(2) Burglary Habitation,1100 W BEWICK ST,FORT WORTH,TX,J11,South,9,C,20,20 RESIDENCE/HOME,
230313559-290,230313559,3/23/2023,CRIMINAL MISCHIEF,3/23/2023 13:34,290,PC 28.03(B)(2)  Crim Misc>=$100<$750,3600 SYCAMORE SCHOOL RD,FORT WORTH,TX,J17,South,6,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.634791989595776, -97.37246013766385)"
230018426-240,230018426,3/12/2023,AUTO THEFT,3/12/2023 8:24,240,PC 31.03(E)(5) AUTO Theft>=$20k<$100k (Auto theft),2700 W 7TH ST,FORT WORTH,TX,K12,West,9,C,18,18 PARKING LOT/GARAGE,"(32.751046828177685, -97.35536643726266)"
230023563-220,230023563,3/30/2023,BURGLARY RESIDENTIAL,3/30/2023 6:15,220,PC 30.02(C)(2) Burglary Habitation,8800 SHARPVIEW DR,FORT WORTH,TX,L16,West,3,C,20,20 RESIDENCE/HOME,"(32.7327405369563, -97.47149891799495)"
230023227-13B,230023227,3/29/2023,ASSAULT,3/29/2023 17:50,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,2700 SANDY LN,FORT WORTH,TX,H14,East,5,C,20,20 RESIDENCE/HOME,"(32.740001302787896, -97.19874007625863)"
230023156-WAR,230023156,3/29/2023,ASSAULT,3/29/2023 14:05,WAR,LOCAL Local Class C Warrants,WOODWAY DR & SOUTHWEST LOOP 820 FWY,FORT WORTH,TX,J14,South,6,C,7,07 CONVENIENCE STORE,
230022768-23H,230022768,3/28/2023,THEFT,3/27/2023 15:30,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,1300 PENNSYLVANIA AVE,FORT WORTH,TX,B11,Central,9,C,9,09 DRUG STORE/DOCTOR'S OFFICE/HOSPITAL,"(32.738411825853376, -97.3397928333615)"
230019324-240,230019324,3/15/2023,AUTO THEFT,3/14/2023 22:30,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,700 GLEN GARDEN DR,FORT WORTH,TX,B17,Central,8,C,20,20 RESIDENCE/HOME,
230019746-13A,230019746,3/17/2023,AG ASSAULT,3/17/2023 4:30,13A,PC 22.02(A)(2) Agg Asslt w/Deadly Weapon,900 E MORNINGSIDE DR,FORT WORTH,TX,B17,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230019746-35A,230019746,3/17/2023,AG ASSAULT,3/17/2023 4:30,35A,HSC 481.115(D) Poss CS PG 1 >=4G<200G,900 E MORNINGSIDE DR,FORT WORTH,TX,B17,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230024253-90Z,230024253,4/2/2023,PENAL CODE,3/31/2023 18:00,90Z,PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,700 SANDY TRL,FORT WORTH,TX,H12,East,5,C,20,20 RESIDENCE/HOME,
230021110-90Z,230021110,3/22/2023,MISSING VEHICLE,3/22/2023 13:00,90Z,PC 38.04(b)(2)(A) Evading Arrest Detention w/vehic,5400 PERSHING AVE,FORT WORTH,TX,K13,West,7,C,13,13 HIGHWAY/ROAD/ALLEY,
230025022-90Z,230025022,4/4/2023,PUBLIC INTOXICATION,4/4/2023 19:50,90Z,GC 080 Public Intoxication,2700 AZLE AVE,FORT WORTH,TX,D12,Northwest,2,A,23,23 SERVICE/GAS STATION,"(32.79768274474425, -97.37781872906298)"
230024434-WAR,230024434,4/2/2023,NARCOTIC VIOLATIONS,4/2/2023 22:59,WAR,OT WARRANT Out of Town Warrant,2900 ANGLE AVE,FORT WORTH,TX,D11,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.797713801512764, -97.36032716083038)"
230024774-13B,230024774,4/4/2023,ASSAULT,4/4/2023 1:15,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,2900 VICKSBURG LN,FORT WORTH,TX,J19,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.618995392840574, -97.36239804596849)"
230312975-26F,230312975,3/10/2023,FRAUD,3/10/2023 12:40,26F,PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,9400 NAVARRO ST,FORT WORTH,TX,J18,South,6,C,20,20 RESIDENCE/HOME,
230025761-220,230025761,4/7/2023,BURGLARY COMMERCIAL,4/7/2023 3:47,220,PC 30.02(C)(1) Burglary of building,8500 SOUTH FWY,FORT WORTH,TX,I17,South,8,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.629100014396464, -97.32142279990012)"
230019219-90I,230019219,3/15/2023,RUNAWAY,3/15/2023 8:44,90I,Runaway report-no statute **,6700 CRESTMONT CT,FORT WORTH,TX,J17,South,8,C,20,20 RESIDENCE/HOME,"(32.646334690790546, -97.36042035929367)"
230024166-120,230024166,4/2/2023,ROBBERY PERSON,4/2/2023 0:13,120,PC 29.02 Robbery,2200 AZLE AVE,FORT WORTH,TX,C13,Northwest,2,C,18,18 PARKING LOT/GARAGE,"(32.792027863368624, -97.37097856999155)"
230313890-23H,230313890,3/30/2023,THEFT RECYCLE,3/20/2023 19:00,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,WILLOW SPRINGS RD/BONDS RANCH RD,FORT WORTH,TX,F16,North,7,C,6,06 CONSTRUCTION SITE,
230025363-13C,230025363,4/5/2023,ASSAULT C,3/29/2023 20:00,13C,GC 088 Assault by threat-Class C,5200 MONAHANS AVE,FORT WORTH,TX,K17,West,3,C,21,21 RESTAURANT,"(32.709398827928005, -97.40152085779448)"
230314059-23H,230314059,4/3/2023,THEFT,4/2/2023 13:00,23H,PC 31.20(c)(1) Theft-Mail<=10 addresses,2900 STANLEY AVE,FORT WORTH,TX,K11,West,9,C,20,20 RESIDENCE/HOME,"(32.709529274730265, -97.34595103696391)"
230025155-23F,230025155,4/5/2023,BURGLARY VEHICLE,4/5/2023 8:00,23F,PC 30.04(A) Burglary Vehicle,4500 MARINE CREEK PKWY,FORT WORTH,TX,D12,Northwest,2,C,7,07 CONVENIENCE STORE,"(32.824413798679835, -97.38486241341181)"
230024304-13A,230024304,4/2/2023,AG ASSAULT,4/2/2023 14:01,13A,PC 22.02(A)(2)FAMILY Agg Assault w/Deadly Weapon F,6500 SHERIDAN CIR,FORT WORTH,TX,I16,South,8,C,20,20 RESIDENCE/HOME,"(32.650233174785456, -97.32526714464089)"
230025126-23H,230025126,4/5/2023,THEFT,3/31/2023 12:00,23H,GC  085-07 Theft under $100,2600 RACE ST,FORT WORTH,TX,A12,Central,9,C,20,20 RESIDENCE/HOME,"(32.773203508033106, -97.30774409263941)"
230313680-23F,230313680,3/26/2023,BURGLARY VEHICLE,3/24/2023 0:30,23F,PC 30.04(A) Burglary Vehicle,3700 SPENCER ST,FORT WORTH,TX,E14,North,4,C,20,20 RESIDENCE/HOME,"(32.905724463934526, -97.30316838811936)"
230314003-23F,230314003,4/2/2023,BURGLARY VEHICLE,4/1/2023 16:30,23F,PC 30.04(A) Burglary Vehicle,E 4TH ST/S SYLVANIA AVE,FORT WORTH,TX,A14,Central,8,C,50,50 PARK/PLAYGROUND,
230025559-240,230025559,4/6/2023,AUTO THEFT,4/6/2023 10:02,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,3200 N TERRY ST,FORT WORTH,TX,C14,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.80185989855601, -97.34492652717563)"
230019712-240,230019712,3/17/2023,AUTO THEFT,3/16/2023 20:00,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,9900 AMOSITE DR,FORT WORTH,TX,F16,North,7,C,20,20 RESIDENCE/HOME,
230025438-23H,230025438,4/6/2023,THEFT,4/5/2023 12:00,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,2100 HUNTER VALLEY CIR,FORT WORTH,TX,F15,North,7,C,20,20 RESIDENCE/HOME,"(32.966547538572286, -97.40921271310053)"
230024861-90Z,230024861,4/4/2023,HARASS,3/1/2023 0:00,90Z,PC 42.07(C) Harassment,7500 MARLINDA CIR,FORT WORTH,TX,I17,South,8,C,20,20 RESIDENCE/HOME,"(32.645294372470765, -97.28340668010263)"
230024898-23F,230024898,4/4/2023,BURGLARY VEHICLE,4/4/2023 3:00,23F,PC 30.04(A) Burglary Vehicle,2900 STANLEY AVE,FORT WORTH,TX,K11,West,9,C,18,18 PARKING LOT/GARAGE,"(32.709529274730265, -97.34595103696391)"
230025521-13B,230025521,4/6/2023,ASSAULT,4/6/2023 12:41,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,1200 E HUMBOLT ST,FORT WORTH,TX,B12,Central,8,C,20,20 RESIDENCE/HOME,"(32.734726312389284, -97.31126103050957)"
230025693-290,230025693,4/7/2023,AG ASSAULT,4/7/2023 2:39,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,ALTAMESA BLVD & MC CART AVE,FORT WORTH,TX,J15,South,6,C,18,18 PARKING LOT/GARAGE,
230020810-240,230020810,3/21/2023,AUTO THEFT,3/21/2023 1:55,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,1900 MISTLETOE BLVD,FORT WORTH,TX,K11,West,9,C,18,18 PARKING LOT/GARAGE,
230313822-23F,230313822,3/31/2023,BURGLARY VEHICLE,3/31/2023 7:55,23F,PC 30.04(A) Burglary Vehicle,1500 AVE D,FORT WORTH,TX,B12,Central,8,C,20,20 RESIDENCE/HOME,"(32.732949052867035, -97.30507889397289)"
230024750-220,230024750,4/4/2023,BURGLARY RESIDENTIAL,4/3/2023 22:15,220,PC 30.02(C)(1) Burglary of building,4100 HAMPSHIRE BLVD,FORT WORTH,TX,G14,East,8,C,18,18 PARKING LOT/GARAGE,"(32.736515338895096, -97.26306026555784)"
230020510-240,230020510,3/20/2023,AUTO THEFT,3/20/2023 2:00,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,300 AFTON RD,FORT WORTH,TX,I16,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230024434-35B,230024434,4/2/2023,NARCOTIC VIOLATIONS,4/2/2023 22:59,35B,GC 084 Possession of Drug Paraphenalia,2900 ANGLE AVE,FORT WORTH,TX,D11,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.797713801512764, -97.36032716083038)"
